compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,-0.0,mzspec:MSV000083274:ccms_peak/PiperMethysticum_Honokane_Stem.mzML:scan:7647,1,0.82,1,0,MSV000083274,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,52327
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,-0.0,mzspec:MSV000083274:peak/PiperMethysticum_Honokane_Stem.mzML:scan:7647,1,0.82,1,0,MSV000083274,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,52110
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,0.0,mzspec:MSV000096242:peak/mzml_20230620_rt_ms2_positive/20230620_pluskal_mce_1D1_H1_id_rt_ms2_positive.mzML:scan:1138,1,0.8,2,0,MSV000096242,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,86937
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,-0.0,mzspec:MSV000082268:peak/mzxml_files/samples/Plate8_BH8_01_24468.mzXML:scan:1021,1,0.73,4,0,MSV000082268,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,417156
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,0.0,mzspec:MSV000083666:ccms_peak/mzxml/samples/GF22.D15_BF10_01_41865.mzML:scan:1032,1,0.73,2,0,MSV000083666,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,313050
Ibuprofen_5-ASA,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016279498,-0.0,mzspec:MSV000082268:peak/mzxml_files/samples/Plate8_BH10_01_24470.mzXML:scan:1021,1,0.72,4,0,MSV000082268,NoID,temp/queries/e7/e72f08116fcd44f3a42a7abad9f5062a/e72f08116fcd44f3a42a7abad9f5062a.mgf,1,342,417636
